ID,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1,A'JA WILSON,37,34.4,27,10.2,19.6,51.9,0.5,1.6,31.7,6.2,7.3,84.5,2.1,9.9,12,2.3,1.8,2.6,1.3,34
2,NAPHEESA COLLIER,33,34.6,20.3,7.8,16,48.6,0.9,2.9,30.9,3.8,4.7,80.1,2.3,7.5,9.8,3.4,1.9,1.3,2,25.5
3,BREANNA STEWART,36,33.4,20.7,7.1,15.4,45.8,1.2,4.1,29.7,5.4,6.4,84,1.6,7,8.6,3.7,1.7,1.3,1.8,25
4,JONQUEL JONES,37,30,14.5,5.4,9.9,54.1,1.5,3.9,39,2.2,2.8,80.4,1.7,7.3,9,3.2,0.8,1.2,2.4,21.2
5,BRITTNEY GRINER,28,29.5,18.2,7.4,13,57.3,0.3,0.6,50,3,3.9,77.8,1.8,4.8,6.6,2.4,0.5,1.5,1.9,21.1
6,CAITLIN CLARK,39,35.8,19.5,6.2,14.7,41.7,3.1,9,34.1,4.1,4.6,90.4,0.4,5.3,5.7,8.4,1.3,0.7,5.6,21
7,NNEKA OGWUMIKE,35,32.1,16.7,6.8,13.4,50.6,0.8,2,40.6,2.3,2.6,88,2,5.6,7.6,2.4,1.9,0.5,1.3,20.9
8,DEARICA HAMBY,38,33.7,17.1,6.6,13,50.9,0.7,2.2,34.1,3.1,4.9,63.1,1.5,7.7,9.3,3.5,1.7,0.2,3,20.6
9,ALIYAH BOSTON,39,31.3,14.1,5.9,11.3,52.6,0.2,0.7,26.9,2,2.8,73.1,2.8,6.2,9,3.2,0.9,1.3,2,20.3
10,ALYSSA THOMAS,38,32.6,10.3,4,8.1,49.4,0,0.1,0,2.3,3.7,62.4,2.4,6.1,8.5,7.9,1.6,0.5,3.6,19.6
11,ARIKE OGUNBOWALE,38,38.6,22.2,7.3,19.2,38.3,2.9,8.5,34.6,4.6,5,92.1,0.8,3.8,4.6,5.1,2.1,0.3,2.7,19.4
12,ANGEL REESE,34,32.5,13.6,4.8,12.3,39.1,0.1,0.5,18.8,3.9,5.2,73.6,5.1,8.1,13.1,1.9,1.3,0.5,2.2,19.2
13,EZI MAGBEGOR,37,30.7,11.7,4.6,9.1,51.2,0.4,1.4,24.5,2.1,2.4,87.4,2.2,5.8,8,2,1.1,2.2,1.4,18.8
14,TINA CHARLES,37,29.9,15,6.2,13.7,45.5,0.3,1.1,26.8,2.2,2.8,78.1,2.5,6.9,9.5,2.2,0.9,0.5,1.6,18.4
15,SABRINA IONESCU,36,32.5,19,6.6,16.4,40,2.9,8.7,33.4,2.9,3.3,89.8,0.7,3.8,4.5,6.1,1,0.3,2.8,18
16,NATASHA HOWARD,26,30.5,17.7,7,15.1,46.2,0.4,2,19.2,3.4,4.8,71.8,2,4.7,6.7,3,1.3,0.8,2.9,17.2
17,JACKIE YOUNG,36,32.7,15.8,5.4,12.7,42.5,1.9,5.7,33.7,3.1,3.5,87.3,0.7,3.6,4.4,5.3,1,0.2,2.1,16.8
